question,type,nsfw
What was the last funny video you saw?,General,False
What do you do to get rid of stress?,General,False
What is something you are obsessed with?,General,False
"Who is your favorite entertainer (comedian, musician, actor, etc.)?",General,False
What's your favorite way to waste time?,General,False
Do you have any pets? What are their names?,General,False
Where did you go last weekend? What did you do?,General,False
What are you going to do this weekend?,General,False
What is something that is popular now that annoys you?,General,False
What did you do on your last vacation?,General,False
What was the last time you worked incredibly hard?,General,False
Are you very active of do you prefer to just relax in your free time?,General,False
What do you do when you hang out with your friends?,General,False
Who is your oldest friend? Where did you meet them?,General,False
What's the best / worst thing about your work / school?,General,False
"If you had intro music, what song would it be? Why?",General,False
What were you really into when you were a kid?,General,False
"If you could have any animal as a pet, what animal would you choose?",General,False
What three words best describe you?,General,False
What would be your perfect weekend?,General,False
What do you think of tattoos? Do you have any?,General,False
What's your favorite number? Why?,General,False
What's the most useful thing you own?,General,False
Have you ever saved an animal's life? How about a person's life?,General,False
"If you opened a business, what kind of business would it be?",General,False
Are you a very organized person?,General,False
Have you ever spoke in front of a large group of people? How did it go?,General,False
What is the strangest dream you have ever had?,General,False
What is a controversial opinion you have?,General,False
Who in your life brings you the most joy?,General,False
Who had the biggest impact on the person you have become?,General,False
What is the most annoying habit someone can have?,General,False
Where is the most beautiful place you have been?,General,False
Where do you spend most of your free time / day?,General,False
Who was your best friend in elementary school?,General,False
How often do you stay up past 3 a.m.?,General,False
What's your favorite season? Why?,General,False
"Which is more important, a great car or a great house? Why?",General,False
What animal or insect do you wish humans could eradicate?,General,False
Where is the most beautiful place near where you live?,General,False
What do you bring with you everywhere you go?,General,False
How much time do you spend on the internet? What do you usually do?,General,False
What is the most disgusting habit some people have?,General,False
Where and when was the most amazing sunset you have ever seen?,General,False
"Which <a href=""https://news.google.com/"">recent news story</a> is the most interesting?",General,False
Where is the worst place you have been stuck for a long time?,General,False
"If you had to change your name, what would your new name be?",General,False
What is something that really annoys you but doesn't bother most people?,General,False
What word or saying from the past do you think should come back?,General,False
"How should success be measured? By that measurement, who is the most successful person you know?",General,False
What is your guilty pleasure?,General,False
Was there ever an event in your life that defied explanation?,General,False
"If you could learn the answer to one question about your future, what would the question be?",General,False
Has anyone ever saved your life?,General,False
What benefit do you bring to the group when you hang out with friends?,General,False
How often do you curse?,General,False
What trends did you follow when you were younger?,General,False
What do you fear is hiding in the dark?,General,False
What was the best time period of your life? What do you think will be the best time period of your entire life?,General,False
What do you do to improve your mood when you are in a bad mood?,General,False
What is the silliest fear you have?,General,False
What are some things you want to accomplish before you die?,General,False
What is the best room in your house? Why?,General,False
Who is someone who is popular now that you really like? Why do you like them so much?,General,False
Where is the best place to take a date?,General,False
What smell brings back great memories?,General,False
How often do you help others? Who do you help? How do you help?,General,False
What are you best at?,General,False
What makes you nervous?,General,False
"Who, besides your parents, had the biggest impact on your life?",General,False
What weird or useless talent do you have?,General,False
What are some strange beliefs that some people have?,General,False
Who would be the worst person to be stuck in an elevator with? How about the best person to be stuck in an elevator with?,General,False
What's the funniest TV series you have seen?,General,False
Which TV show do you want your life to be like?,General,False
"If you could bring back one TV show that was cancelled, which one would you bring back?",General,False
How have TV shows changed over the years?,General,False
What's the best sitcom past or present?,General,False
What's the best show currently on TV?,General,False
What do you think about game shows? Do you have a favorite one?,General,False
What's the most underrated or overrated TV show?,General,False
What do you think about reality TV? Why is it so popular?,General,False
"Do you like reality TV shows? Why or why not? If so, which ones?",General,False
What will be the future of TV shows?,General,False
"What was the best <a href=""https://happybirthdaywishesworld.com/happy-birthday-best-friend/"">birthday wish</a> or gift you've ever received?",General,False
How often do you binge watch shows?,General,False
What cartoons did you watch as a child?,General,False
What was the last movie you watched? How was it?,General,False
